system,P@10,MAP@100
GE8MTD2,0.602,0.562746626953387
ok8amxc,0.55,0.5034620418804631
Flab8ax,0.524,0.49055446266734626
MITSLStd,0.508,0.4902144321808445
apl8c221,0.504,0.4677859511481426
Flab8at,0.486,0.4676679856351021
att99ate,0.47600000000000003,0.4390289331975762
ric8dpn,0.45,0.4305751317007914
pir9Aa1,0.45,0.42763452872233815
Mer8Adtd2,0.444,0.4230071782640436
mds08a2,0.41600000000000004,0.3948944531779254
plt8ah2,0.332,0.327845950092514
Dm8Nbn,0.19,0.22707305790341872
UB99T,0.146,0.1923200745683538
isa25t,0.092,0.13670225039939138
